Date,Manhattan price per sqft,Brooklyn price per sqft,Bronx price per sqft,Queens price per sqft,Staten Island price per sqft
2001-05,519.4545454545455,209.9512195121951,152.16666666666666,197.0677966101695,167.625
2001-06,523.9090909090909,211.82926829268294,154.11111111111111,199.0,169.39583333333334
2001-07,528.0454545454545,213.78048780487805,155.61111111111111,200.9322033898305,171.14583333333334
2001-08,532.0,216.0,156.88888888888889,203.03389830508473,172.79166666666666
2001-09,535.6363636363636,218.3170731707317,158.0,204.96610169491527,174.52083333333334
2001-10,538.9545454545455,220.6341463414634,159.33333333333334,207.0,176.35416666666666
2001-11,541.9090909090909,223.3170731707317,160.83333333333334,209.01694915254237,178.14583333333334
2001-12,544.5909090909091,226.17073170731706,162.55555555555554,211.15254237288136,180.08333333333334
2002-01,547.0,228.82926829268294,164.5,212.67796610169492,181.89583333333334
2002-02,549.0909090909091,230.8780487804878,166.27777777777777,213.4915254237288,183.95833333333334
2002-03,550.9090909090909,232.6829268292683,168.22222222222223,214.03389830508473,185.70833333333334
2002-04,552.5,234.1951219512195,170.27777777777777,214.71186440677965,187.66666666666666
2002-05,553.7727272727273,235.390243902439,172.27777777777777,215.79661016949152,189.64583333333334
2002-06,554.6818181818181,236.34146341463415,174.05555555555554,217.22033898305085,191.58333333333334
2002-07,555.7727272727273,237.21951219512195,175.55555555555554,218.6949152542373,193.625
2002-08,557.1363636363636,238.4878048780488,176.94444444444446,220.3728813559322,195.47916666666666
2002-09,558.8636363636364,239.9512195121951,178.11111111111111,221.98305084745763,197.4375
2002-10,560.8181818181819,241.8780487804878,179.27777777777777,224.03389830508473,199.39583333333334
2002-11,562.8181818181819,243.2439024390244,180.55555555555554,224.33898305084745,201.47916666666666
2002-12,565.1818181818181,244.34146341463415,182.11111111111111,224.35593220338984,203.6875
2003-01,569.1363636363636,246.78048780487805,183.33333333333334,228.15254237288136,206.10416666666666
2003-02,574.5909090909091,251.1219512195122,184.27777777777777,236.72881355932202,208.75
2003-03,580.9545454545455,256.9024390243902,185.16666666666666,246.28813559322035,211.33333333333334
2003-04,589.5909090909091,263.8780487804878,185.83333333333334,254.5593220338983,214.02083333333334
2003-05,601.1818181818181,271.7560975609756,186.44444444444446,259.6779661016949,216.79166666666666
2003-06,615.3181818181819,279.7317073170732,188.0,262.40677966101697,219.4375
2003-07,629.9090909090909,286.7073170731707,191.33333333333334,263.864406779661,222.0625
2003-08,642.4545454545455,291.7073170731707,196.27777777777777,265.20338983050846,224.3125
2003-09,651.5,295.2682926829268,201.83333333333334,266.8135593220339,226.52083333333334
2003-10,657.0909090909091,297.7317073170732,206.27777777777777,268.9491525423729,228.60416666666666
2003-11,660.0,300.4390243902439,209.83333333333334,271.9491525423729,230.54166666666666
2003-12,661.5454545454545,303.2926829268293,212.16666666666666,275.5762711864407,232.29166666666666
2004-01,672.0,316.2325581395349,207.89473684210526,278.6949152542373,234.1875
2004-02,671.4,318.86046511627904,210.31578947368422,281.06779661016947,236.04166666666666
2004-03,672.92,321.48837209302326,212.89473684210526,283.6271186440678,237.95833333333334
2004-04,675.76,323.6511627906977,215.6315789473684,286.7118644067797,239.83333333333334
2004-05,679.84,326.25581395348837,218.3684210526316,290.77966101694915,241.77083333333334
2004-06,685.8,329.5581395348837,220.52631578947367,295.728813559322,243.8125
