Date,MANHATTAN_Crime_Cnt,BROOKLYN_Crime_Cnt,QUEENS_Crime_Cnt,BRONX_Crime_Cnt,STATEN_ISLAND_Crime_Cnt,Manhattan price per sqft,Brooklyn price per sqft,Bronx price per sqft,Queens price per sqft,Staten Island price per sqft,Manhattan rental price,Brooklyn rental price,Bronx rental price,Queens rental price,Staten Island rental price
2014-03,9360,12250.0,8319.0,8818.0,1909.0,1234.64,534.2790697674419,256.7894736842105,382.83050847457633,265.2083333333333,3326.115384615385,3326.115384615385,3326.115384615385,3326.115384615385,3326.115384615385
2014-04,9038,12165.0,8036.0,8597.0,1935.0,1250.04,538.5348837209302,256.4736842105263,385.57627118644064,266.8958333333333,3324.115384615385,3324.115384615385,3324.115384615385,3324.115384615385,3324.115384615385
2014-05,10410,13434.0,9145.0,9384.0,2101.0,1265.88,543.0930232558139,255.94736842105263,387.33898305084745,268.0208333333333,3311.0,3311.0,3311.0,3311.0,3311.0
2014-06,10085,12774.0,8745.0,9281.0,2120.0,1280.4,547.0232558139535,255.5263157894737,388.9661016949152,268.8541666666667,3320.615384615385,3320.615384615385,3320.615384615385,3320.615384615385,3320.615384615385
2014-07,10301,13978.0,9036.0,9705.0,1976.0,1293.76,551.3720930232558,256.1578947368421,392.22033898305085,270.0416666666667,3344.1538461538457,3344.1538461538457,3344.1538461538457,3344.1538461538457,3344.1538461538457
2014-08,10255,13695.0,9047.0,9863.0,2071.0,1306.88,557.7674418604652,257.3684210526316,396.0338983050848,271.75,3395.3076923076924,3395.3076923076924,3395.3076923076924,3395.3076923076924,3395.3076923076924
2014-09,9895,12911.0,8600.0,9432.0,2029.0,1318.92,565.5348837209302,258.42105263157896,398.9491525423729,273.5625,3464.4230769230767,3464.4230769230767,3464.4230769230767,3464.4230769230767,3464.4230769230767
2014-10,10050,13558.0,8876.0,9663.0,1930.0,1329.24,571.7209302325581,259.8421052631579,401.3050847457627,275.3958333333333,3558.769230769231,3558.769230769231,3558.769230769231,3558.769230769231,3558.769230769231
2014-11,8860,11261.0,7609.0,8417.0,1782.0,1336.52,577.0930232558139,261.7368421052632,404.22033898305085,276.4166666666667,3650.5,3650.5,3650.5,3650.5,3650.5
2014-12,8060,10712.0,7442.0,7307.0,1573.0,1339.68,582.2325581395347,263.57894736842104,406.864406779661,277.25,3716.269230769231,3716.269230769231,3716.269230769231,3716.269230769231,3716.269230769231
2015-01,8294,10649.0,7114.0,7365.0,1554.0,1341.52,586.5581395348837,264.0526315789473,409.0677966101695,279.2291666666667,3744.1538461538457,3744.1538461538457,3744.1538461538457,3744.1538461538457,3744.1538461538457
2015-02,7600,9000.0,6443.0,6807.0,1370.0,1344.32,589.9534883720929,264.6842105263158,411.1525423728813,281.75,3773.6538461538457,3773.6538461538457,3773.6538461538457,3773.6538461538457,3773.6538461538457
2015-03,8960,11314.0,7531.0,8233.0,1917.0,1347.32,594.8837209302326,265.3684210526316,413.4745762711864,283.3125,3785.0,3785.0,3785.0,3785.0,3785.0
2015-04,9495,11816.0,7846.0,8549.0,1785.0,1351.84,601.4883720930233,265.9473684210526,415.57627118644064,284.0625,3804.3461538461543,3804.3461538461543,3804.3461538461543,3804.3461538461543,3804.3461538461543
2015-05,10038,12986.0,8360.0,9393.0,2028.0,1358.04,607.8604651162791,266.7368421052632,417.4067796610169,284.6041666666667,3791.9230769230767,3791.9230769230767,3791.9230769230767,3791.9230769230767,3791.9230769230767
2015-06,9675,12641.0,8270.0,8961.0,1953.0,1365.44,613.0465116279071,267.7368421052632,419.7966101694915,284.5,3808.0769230769233,3808.0769230769233,3808.0769230769233,3808.0769230769233,3808.0769230769233
2015-07,10407,13297.0,8835.0,9764.0,2027.0,1374.88,619.3953488372092,268.0526315789473,423.11864406779665,283.8958333333333,3815.615384615385,3815.615384615385,3815.615384615385,3815.615384615385,3815.615384615385
2015-08,10395,13576.0,8737.0,10112.0,2022.0,1386.36,626.4883720930233,268.6842105263158,426.11864406779665,284.1875,3845.1538461538457,3845.1538461538457,3845.1538461538457,3845.1538461538457,3845.1538461538457
2015-09,9759,12404.0,8119.0,9525.0,1921.0,1396.84,633.1395348837209,270.0526315789473,428.38983050847463,285.375,3850.6538461538457,3850.6538461538457,3850.6538461538457,3850.6538461538457,3850.6538461538457
2015-10,9833,12063.0,8233.0,9348.0,2004.0,1405.88,638.7906976744188,271.9473684210526,431.27118644067804,287.0,3786.0,3786.0,3786.0,3786.0,3786.0
2015-11,9039,11574.0,7637.0,8530.0,1726.0,1412.72,643.8604651162791,273.4736842105263,434.3559322033897,288.4375,3736.4615384615386,3736.4615384615386,3736.4615384615386,3736.4615384615386,3736.4615384615386
2015-12,9395,11535.0,7781.0,8445.0,1863.0,1418.0,647.8372093023256,274.7894736842105,437.2542372881356,290.0416666666667,3701.0769230769233,3701.0769230769233,3701.0769230769233,3701.0769230769233,3701.0769230769233
2016-01,9232,11211.0,7479.0,8566.0,1710.0,1424.44,652.0697674418603,275.10526315789474,440.3220338983051,292.2291666666667,3735.615384615385,3735.615384615385,3735.615384615385,3735.615384615385,3735.615384615385
2016-02,8262,10241.0,6951.0,7650.0,1582.0,1432.92,657.2790697674419,274.63157894736844,443.42372881355936,294.5208333333333,3777.4230769230767,3777.4230769230767,3777.4230769230767,3777.4230769230767,3777.4230769230767
2016-03,9752,11698.0,7670.0,8771.0,1829.0,1438.8,662.0,275.3157894736842,445.6779661016949,296.3541666666667,3813.0769230769233,3813.0769230769233,3813.0769230769233,3813.0769230769233,3813.0769230769233
2016-04,9729,11263.0,7726.0,9062.0,1819.0,1438.28,665.6744186046511,276.8421052631579,447.8474576271187,298.125,3845.4615384615386,3845.4615384615386,3845.4615384615386,3845.4615384615386,3845.4615384615386
2016-05,9934,12202.0,8388.0,9499.0,1906.0,1435.72,668.2093023255812,278.7368421052632,450.6779661016949,299.75,3848.8461538461543,3848.8461538461543,3848.8461538461543,3848.8461538461543,3848.8461538461543
2016-06,10224,12181.0,8313.0,9207.0,1930.0,1433.88,669.7906976744188,281.1578947368421,453.33898305084745,300.5208333333333,3842.5769230769233,3842.5769230769233,3842.5769230769233,3842.5769230769233,3842.5769230769233
2016-07,9883,12278.0,8503.0,9181.0,1903.0,1434.2,671.1162790697674,282.89473684210526,456.16949152542367,301.125,3821.6538461538457,3821.6538461538457,3821.6538461538457,3821.6538461538457,3821.6538461538457
2016-08,10558,12910.0,8276.0,9272.0,1862.0,1433.12,674.2790697674419,284.57894736842104,460.01694915254234,302.9583333333333,3793.6538461538457,3793.6538461538457,3793.6538461538457,3793.6538461538457,3793.6538461538457
2016-09,9404,12016.0,7769.0,8699.0,1839.0,1429.76,678.1627906976744,288.2631578947368,463.01694915254234,306.375,3759.1538461538457,3759.1538461538457,3759.1538461538457,3759.1538461538457,3759.1538461538457
2016-10,9912,12195.0,8053.0,9151.0,1930.0,1426.08,681.0232558139535,292.84210526315786,466.1016949152543,310.9583333333333,3730.384615384615,3730.384615384615,3730.384615384615,3730.384615384615,3730.384615384615
2016-11,8872,11204.0,7429.0,8126.0,1753.0,1427.36,684.7441860465116,297.2105263157895,470.2033898305085,315.0833333333333,3703.269230769231,3703.269230769231,3703.269230769231,3703.269230769231,3703.269230769231
2016-12,9412,10763.0,7511.0,8343.0,1673.0,1432.24,689.8139534883722,300.84210526315786,474.57627118644064,318.0625,3676.4230769230767,3676.4230769230767,3676.4230769230767,3676.4230769230767,3676.4230769230767
2017-01,8993,11270.0,7502.0,8594.0,1764.0,1437.76,694.1162790697673,303.57894736842104,477.5254237288136,319.7916666666667,3650.307692307693,3650.307692307693,3650.307692307693,3650.307692307693,3650.307692307693
2017-02,8024,9721.0,6457.0,7234.0,1444.0,1438.96,696.7906976744188,305.57894736842104,478.7627118644068,321.3541666666667,3627.0769230769233,3627.0769230769233,3627.0769230769233,3627.0769230769233,3627.0769230769233
2017-03,8650,10532.0,7043.0,8215.0,1659.0,1435.68,699.6976744186046,307.3157894736842,480.61016949152537,323.9375,3605.0769230769233,3605.0769230769233,3605.0769230769233,3605.0769230769233,3605.0769230769233
2017-04,9380,10770.0,7406.0,8244.0,1704.0,1429.72,702.6279069767443,308.84210526315786,483.72881355932196,326.9791666666667,3592.269230769231,3592.269230769231,3592.269230769231,3592.269230769231,3592.269230769231
2017-05,9837,11922.0,7813.0,8894.0,1888.0,1427.04,704.4651162790698,310.3684210526316,486.864406779661,330.4791666666667,3597.230769230769,3597.230769230769,3597.230769230769,3597.230769230769,3597.230769230769
2017-06,9556,11687.0,7883.0,8969.0,1881.0,1428.92,705.5813953488373,311.89473684210526,488.5932203389831,334.8333333333333,3625.6538461538457,3625.6538461538457,3625.6538461538457,3625.6538461538457,3625.6538461538457
2017-07,9900,12399.0,8357.0,8921.0,1916.0,1431.36,708.6511627906976,313.3157894736842,490.5932203389831,340.0625,3673.4615384615386,3673.4615384615386,3673.4615384615386,3673.4615384615386,3673.4615384615386
2017-08,10124,12166.0,8058.0,9038.0,1869.0,1429.6,713.3953488372093,315.15789473684214,493.61016949152537,344.14583333333326,3716.0,3716.0,3716.0,3716.0,3716.0
2017-09,9643,11872.0,7681.0,8720.0,1794.0,1428.84,717.5116279069767,317.0,497.6271186440678,346.08333333333326,3752.269230769231,3752.269230769231,3752.269230769231,3752.269230769231,3752.269230769231
2017-10,10360,11893.0,7777.0,9071.0,1852.0,1428.68,719.2790697674419,317.4736842105263,501.2881355932203,347.10416666666674,3759.0769230769233,3759.0769230769233,3759.0769230769233,3759.0769230769233,3759.0769230769233
2017-11,8886,10699.0,7037.0,8122.0,1585.0,1425.56,719.6279069767443,317.89473684210526,503.7966101694915,348.54166666666674,3744.1923076923076,3744.1923076923076,3744.1923076923076,3744.1923076923076,3744.1923076923076
2017-12,8293,9782.0,6501.0,7283.0,1500.0,1421.16,721.3023255813954,318.63157894736844,505.64406779661016,350.52083333333326,3704.5384615384614,3704.5384615384614,3704.5384615384614,3704.5384615384614,3704.5384615384614
